@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
17/03/2004,qua,12843
18/03/2004,qui,12668
19/03/2004,sex,12806
20/03/2004,sab,11868
21/03/2004,dom,10958
22/03/2004,seg,13016
23/03/2004,ter,12899
24/03/2004,qua,12991
25/03/2004,qui,12937
26/03/2004,sex,12607
27/03/2004,sab,11584
28/03/2004,dom,10645
29/03/2004,seg,12306
30/03/2004,ter,12816
31/03/2004,qua,13025
01/04/2004,qui,14006
02/04/2004,sex,13957
03/04/2004,sab,13041
04/04/2004,dom,11894
05/04/2004,seg,14143
06/04/2004,ter,14247
07/04/2004,qua,13819
08/04/2004,qui,13208
09/04/2004,sex,11189
10/04/2004,sab,12155
11/04/2004,dom,11502
12/04/2004,seg,13536
13/04/2004,ter,7513
14/04/2004,qua,7742
15/04/2004,qui,13789
16/04/2004,sex,13992
17/04/2004,sab,12863
18/04/2004,dom,11525
19/04/2004,seg,13932
20/04/2004,ter,14096
21/04/2004,qua,12258
22/04/2004,qui,14376
23/04/2004,sex,14167
24/04/2004,sab,12799
25/04/2004,dom,11471
26/04/2004,seg,13693
27/04/2004,ter,13932
28/04/2004,qua,14395
29/04/2004,qui,14396
30/04/2004,sex,14449
01/05/2004,sab,11719
02/05/2004,dom,11170
03/05/2004,seg,13470
04/05/2004,ter,13499
05/05/2004,qua,13525
06/05/2004,qui,13640
07/05/2004,sex,13539
08/05/2004,sab,12258
09/05/2004,dom,11025
10/05/2004,seg,13366
11/05/2004,ter,13884
12/05/2004,qua,14025
13/05/2004,qui,14035
14/05/2004,sex,14129
15/05/2004,sab,12970
16/05/2004,dom,11719
17/05/2004,seg,14024
18/05/2004,ter,14223
19/05/2004,qua,14156
20/05/2004,qui,14159
21/05/2004,sex,13697
22/05/2004,sab,12531
23/05/2004,dom,11419
24/05/2004,seg,13698
25/05/2004,ter,13919
26/05/2004,qua,14048
27/05/2004,qui,14180
28/05/2004,sex,13739
29/05/2004,sab,12292
30/05/2004,dom,11095
31/05/2004,seg,13360
01/06/2004,ter,13549
02/06/2004,qua,13824
03/06/2004,qui,13712
04/06/2004,sex,13853
05/06/2004,sab,12521
06/06/2004,dom,11186
07/06/2004,seg,13407
08/06/2004,ter,13739
09/06/2004,qua,13696
10/06/2004,qui,11587
11/06/2004,sex,13294
12/06/2004,sab,12502
13/06/2004,dom,11351
14/06/2004,seg,13392
15/06/2004,ter,13588
16/06/2004,qua,13662
17/06/2004,qui,13707
18/06/2004,sex,13603
19/06/2004,sab,12332
20/06/2004,dom,11202
21/06/2004,seg,13457
22/06/2004,ter,13520
23/06/2004,qua,13687
24/06/2004,qui,14025
25/06/2004,sex,13871
26/06/2004,sab,12544
27/06/2004,dom,11174
28/06/2004,seg,13477
29/06/2004,ter,13693
30/06/2004,qua,13677
01/07/2004,qui,14100
02/07/2004,sex,13978
03/07/2004,sab,12670
04/07/2004,dom,11628
05/07/2004,seg,13635
06/07/2004,ter,14087
07/07/2004,qua,14078
08/07/2004,qui,13869
09/07/2004,sex,13697
10/07/2004,sab,12554
11/07/2004,dom,11504
12/07/2004,seg,13787
13/07/2004,ter,14128
14/07/2004,qua,14243
15/07/2004,qui,14045
16/07/2004,sex,13738
17/07/2004,sab,12372
18/07/2004,dom,10887
19/07/2004,seg,12949
20/07/2004,ter,13590
21/07/2004,qua,13899
22/07/2004,qui,13794
23/07/2004,sex,13392
24/07/2004,sab,12221
25/07/2004,dom,11341
26/07/2004,seg,13600
27/07/2004,ter,13802
28/07/2004,qua,13772
29/07/2004,qui,13979
30/07/2004,sex,13968
31/07/2004,sab,12767
01/08/2004,dom,11617
